,UniqueLocations
0,Madurai 400 KV TNEB
1,Tuticorin PS
2,Anchepalya 220 kV
3,Hassan
4,Sattenapalli400KVSS
5,Raichur 765kV
6,TIRUPUR 230 kV SS
7,Mettacur (Yanam)
8,Madugiri 220 kV
9,ChennaiREMC
10,Kundara
11,Ambalamughal
12,Brahmanakotkuru 220KVSS
13,Hassan 220 kV
14,Thethampakkam
15,Gazuwaka PG
16,Thondamanatham
17,Kudgi NTPC
18,Mamidipally
19,Madurai Sub-LDC
20,Mysore
21,Korkadu
22,400kV Hoody
23,Salem 230 kV SS
24,Kundara  KSEB
25,400 KVSS Kalapaka
26,Kozhikode PG
27,Alampur
28,Regumangadda
29,Trichur PG
30,KPTCL URTDSM
31,Mondipatty 230 kV SS
32,Sedharapet
33,Thirubuvanai
34,Sedam 220 kV
35,220 KV SOMAYAJULAPALLI
36,Myvadi TNEB
37,Tumkur 765KV PGCIL
38,Nokia 230 kV SS
39,HOSUR 230 kV SS -230 kV Yarandahalli feeder
40,NP Kunta 400kv
41,Erode  Sub- LDC
42,Vydhithubhavanam
43,Pondicherry SCC
44,Thiruvarur 230KV TNEB
45,Karamadai 400/230/110 kV SS
46,Honnali 220 kV
47,Ghanapur
48,MOSUR 230 kV SS
49,Bidadi PGCIL
50,132 KVSS Araku
51,KPTCL SLDC
52,Areakode
53,Davanagere 220 kV
54,Hosur PG
55,Narendra 220 kV (KPTCL)
56,Gurubarapalli 230 kV SS
57,Areacode
58,Pothencode
59,SRIPERAMBDUR TNEB
60,Repeater 204 (RDM-Bhadrawati)
61,230 kV ECHUR SS
62,PALLADAM 230 kV SS
63,Tallapalli220KVSS
64,Kozhikode KSEB
65,Upper Sileru Power House
66,"Hub
(Changeover MCC - BCC)"
67,Gowribidanur 220 kV
68,Nagapattanam PG
69,KR Pete 220 kV
70,220KVSS CKPalli
71,Brahmapuram
72,Hiriyur PG
73,Hoody 400 kV (KPTCL)
74,Konaje 110 kV
75,Tirchy PG
76,Sorakudy
77,Nelamangala 400 kV
78,Repeater Kanigiri (CPETA- KDP )
79,Jambunathapuram 230 kV SS
80,400 KVSS Kethireddy pally
81,Nelamangala KPTCL
82,Valayapatti 230 kV SS
83,Vidyut Soudha
84,Nelamangala 400 kV (KPTCL)
85,NPCIL Kaiga
86,THACHANKURICHY 230 kV SS
87,Hosur 230 kV SS
88,Areakode KSEB
89,220 KVSS Chittoor
90,Bahour 110
91,"ALDC, CKPalli"
92,Bududampadu
93,Srisailam-RBPH
94,400 KVSS Nirmal
95,Yelahanka SS
96,Madurai 400kV PG
97,220 KV SS Warangal
98,230 kV THENI SS
99,Lower Sileru Power House
100,230 KV Thriuvarur SS
101,220 KV SS Jagityal
102,Yarnal 220 kV (G M NAVARA)
103,Wanaparthy
104,MYVADI 230 kV SS
105,"APSLDC, Vijayawada"
106,CR Patna 220 kV
107,Alamathy 400 KV SS
108,RTPP
109,Davangere/Gutur KPTCL
110,Repeater Muchinapalli (VMGR-CPETA)
111,Nittur 220 kV
112,Antharasanahalli 220 kV
113,Bidadi 220 kV (KPTCL)
114,220  KV Tandur
115,Kalamassery
116,Salem
117,Yerandanahalli 220 kV
118,PUDUKKOTTAI SS  230 kV  SS
119,Gooty Sw.st 220KV
120,Simhadri_NTPC
121,Madurai PDH2
122,"N'Sagar RCPH,"
123,Repeater Ichodda (Wardha-NZB)
124,Peenya KPTCL
125,Pulichinthala
126,Pugalur 400 kV SS
127,Anantapur 220KVSS
128,SRIPERUMBUDUR 400/230 KV SS
129,Edamon
130,Salem 400 KV SS
131,Kudgi 765KV PG
132,Alamanthy TNEB
133,HN Pura 220 kV
134,K.R.Thoppur 400 kV SS
135,Kolar
136,Repeater Shadnagar (NZB-MSWRM)
137,Shornur
138,Alipur 220 kV
139,400 KV Gajwel
140,400 Kv Asupaka
141,Chinthamani 220 kV (KPTCL)
142,Chickmagalur 220 kV
143,Gummidipoondi  230 kV SS
144,Maheshwaram PS
145,Pothencode KSEB
146,Arasur 230 kV SS
147,Kurnool 765kV
148,Tirunelveli PG
149,THIRUVALAM 230 kV SS
150,Nellore PS_765kV
151,Bhavini
152,Somanahalli 220 kV (KPTCL)
153,Cochin PG
154,Kusumanchi
155,Repeater HB Hally Madhugiri-Kugdi-765
156,Edamon PG
157,220 KV SS Kadapa
158,Edappon
159,Ramagundam_NTPC
160,Deviyakurichi 230 kV SS
161,DOMALAPENTA
162,Karavallur 230 kV SS
163,400kV Somanahalli
164,Kalamassary
165,Edamon  KSEB
166,Kadur 220 kV
167,SCADA HUB BENGALURU
168,GIS Tuticorin
169,Hoody KPTCL
170,Kudamkulam
171,Chennai SLDC
172,Palakkad PG
173,KODADA
174,Kolar 220 kV (KPTCL)
175,400KVSS Narnoor
176,Gobi 230 kV SS
177,KPTCL ELDC
178,Pondycherry PG
179,KTPS V
180,Kanhirode
181,A P Carbides 220KVSS
182,Somanahalli PG
183,N' Sagar PG
184,Karaikal
185,CUDDALORE 230 kV SS
186,KPTCL REMC
187,Alundur 230 kV SS
188,Thudiyalur 230 kV  SS
189,Kolar HVAC
190,220 KV Chalakurthy
191,Marapalam
192,Repeater Vizinigiri (VMGR-SKLM)
193,Hootagalli 220 kV
194,ARANI  230 kV SS
195,Palakkad KSEB
196,Repeater 346 (RDM-Ghanapur)
197,Chillakallu 220kV SS
198,Orkkattery
199,Narendra PGCIL
200,Mahabunagar 400 KV
201,KTPS
202,TK Halli 220 kV
203,Perambalur 230 kV SS
204,220 KV Seethapuram
205,220 Kv Nagarjuna Sagar
206,Kalamassery  KSEB
207,"TSSLDC,Vidyut Soudha,Hyderabad"
208,MRS Shimoga 220 kV
209,Wadapally
210,HAL KPTCL
211,Bahor
212,Bastipura 400 kV
213,Trichy 230 kV SS
214,Bahour 230
215,230 kV KARAIKUDI SS
216,BPS 400 kV (KPTCL)
217,Nunna 220KVSS
218,KB Cross 220 kV
219,Shantigrama 220 kV
220,Kalapet
221,Kalivanthapattu PG
222,SRLDC
223,RTPS 400 kV
224,Ghanapur PG
225,132 KV SS Vontimitta
226,VINNAMANGALAM 230 kV SS
227,Villianur 110
228,Ragulapdu 220 KV SS
229,Alamathy TNEB
230,Yelahanka 220 kV (KPTCL)
231,400KV Suryapet
232,Chalakudi (Brahmapuram) KSEB
233,Srikakulem PS
234,Shapur Nagar
235,HSR KPTCL
236,Madhira
237,Nunna220KVSS
238,Khammam PG
239,GIS Tuticorin 230KV
240,Repeater Kodikonda  (KDP-Madugiri)
241,Repeater HB Hally Madhugiri-Kugdi-766
242,132KVSS Kamavarapu Kota
243,400 KVSS Ramadugu
244,400 KVSS Sundilla
245,DINDI
246,T.R.Pattinam
247,Puguluru HVDC
248,Pugulur/KarurPGCIL
249,Madakkathara
250,DB Pura 220 kV
251,Chalakudy
252,Chamarajanagara 220 kV
253,Maheswaram 400 KV
254,Ingur TNEB
255,VTPS IV
256,ALAMATHY 400 kV SS
257,400 KVSS Jaipur
258,NCTPS I (TNEB)
259,Kalpakkam
260,Vajamangala 220 kV
261,Mysore PGCIL
262,Pudansandai 230 kV SS
263,220 KV SS Sullurpet
264,Chillakallu 220KVSS
265,Vijayawada PG
266,Villianur
267,Khammam
268,Kurumbapet
269,Warangal PG
270,Karaikudi 400kV PG
271,Guttur 400 kV (KPTCL)
272,Thiruvananthapuram
273,THIRUVALAM 400 kV SS
274,C'PETA
275,UDUMALPET 230 kV SS
276,Davangere KPTCL
277,Dharmapuri PS
278,ORAGADAM 230 kV SS
279,Urvakonda 400 KV SS
280,Kadapa PG
281,Nellore PG_400kv
282,Udumalpet PG
283,SRISAILAM LBPH
284,Anthiyur 230 kV SS
285,Gooty PG
286,Kolar PGCIL
287,VILLUPURAM 230 kV SS
288,Tanjore 230KV
289,Kanhirode 
290,Munirabad PG
291,Neyveli TS1
292,PERAMBALUR   230 kV SS
293,400 KVSS Gajwel
294,400KVSS Kamavarapu Kota
295,Arasikere 220 kV
296,220KVSS Madanapalli
297,Aswaraopet
298,220KV SS Yerraguntla
299,220KVSS Kalikiri
300,400 KVSS Malkaram
301,Shornur KSEB
302,RAMAPURAM
303,Pondy SCC
304,Kadra G S
305,S.P. Koil
306,400kV Kolar PGCIL
307,Ingur 230 kV SS
308,Pallakapalayam 230 kV SS
309,MPTS (TNEB)
310,Villianur 230
311,Eripakkam
312,230 kV MADURAI SS  [PASUMALAI]
313,Tondiapet TNEB
314,Tangeda 132kvss
315,Kurukkathy 230 kV SS
316,Neyveli TS1 Exp
317,VTPS
318,Ottiyambakkam                 400KV SS
319,Neyveli TS2
320,Trivendrum PG
321,Tubinakere 220 kV
322,Thingalore 230 kV SS
323,Vemagiri PS
324,400 KVSS Shankarpally
325,Sripermbadur PGCIL
326,Kadalangudi TNEB
327,Cuddalore TNEB
328,Arasur 400 kV SS
329,Thrissur
330,Hassan PG
331,230 kV Trichy SS
332,Kadakola 220 kV
333,220 KVSS Ramagundam
334,230 Kayathar SS
335,Neyveli TS2 Exp
336,Nizambad GIS
337,Pugalur 230 kV SS
338,Vengata Nagar
339,Pallom
340,Thiruvalam PG
341,Gopalapura 220 kV
342,Hootagalli KPTCL
343,Maniyachi TNEB
344,Arasur PG
345,Salem 400kV PG
346,Trichy400kv/Alandur TNEB
347,NRS KPTCL
348,Dichpally
349,400KVSS Chittoor
350,Trichur KSEB
351,Vallur NTPC
352,Ambewadi 220 kV
353,Kodasalli G S
354,220 KVSS Nirmal
