source,destination,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,VTPS,Tallapalli,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,Ananthapur,RTPP 220KV,Kadapa 400KV,Chittoor 400KV,Sriperamadur,Pondy,NLC_TS_2,BAHOUR,VILLANUR,PONDY SCC,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,VTPS,Tallapalli,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5 MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,VTPS,Tallapalli,N.Sagar PG,MAHABUB NAGAR,RAICHUR STM16,MUNIRABAD,DAVANGERE/ GUTUR,DAVANGERE/GUTUR 2,HIRUYUR 5 MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,,,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,PAVAGADA 3MSP,TUMUKUR,KOLAR PGCIL STM16,2,KOLAR PGCIL STM 16,1,SMNHL 1,SRLDC 1,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,VTPS,TALLAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC REMC,NUNNA REMC,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,BIDADI,SMNHL 1,SRLDC 1,SRLDC 2,SRLDC REMC,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,SMNHL 1,SRLDC 1,SRLDC 2,SRLDC REMC,,,,,
"APSLDC, Vijayawada","SRLDC, Bangalore",APSLDC,NUNNA,SATTENAPALLI,SSLM RB,NANNUR,S.Palli,GOOTY 220KV,GOOTY PG,GOOTY 5MSP,PAVAGADA 5MSP,HIRUYUR 5MSP,NEELAMANGALA 2,SMNHL 1,SRLDC 1,,,,,,,
400KVSS Kamavarapu Kota,400KVSS Suryapeta,Kamavarapu Kota 400KVSS,SURYAPETA,,,,,,,,,,,,,,,,,,,
400KVSS Kamavarapu Kota,400KVSS Suryapeta,Kamavarapu Kota 400KVSS,SURYAPETA,,,,,,,,,,,,,,,,,,,
400KVSS Kamavarapu Kota,400KVSS Suryapeta,Kamavarapu Kota 400KVSS,SURYAPETA,,,,,,,,,,,,,,,,,,,
132KVSS Kamavarapu Kota,132KVSS Aswarao Peta,Kamavarapu Kota 132KVSS to Aswarao Peta,,,,,,,,,,,,,,,,,,,,
Lower sileru Power House,220KVSS Asupaka,Lower sileru Power House,Asupaka,,,,,,,,,,,,,,,,,,,
Lower sileru Power House,K.T.P.S Vth stage,Lower sileru Power House,K.T.P.S Vth stage,,,,,,,,,,,,,,,,,,,
Upper sileru Power House,Balimela,Upper sileru power houe,Balimela,,,,,,,,,,,,,,,,,,,
Upper sileru Power House,Balimela,Upper sileru power houe,Balimela,,,,,,,,,,,,,,,,,,,
400 KVSS Kalapaka,400 KVSS Khammam,400 KVSS Kalapaka,400 KVSS Khammam,,,,,,,,,,,,,,,,,,,
400 KVSS Kalapaka,400 KVSS Khammam,400 KVSS Kalapaka,400 KVSS Khammam,,,,,,,,,,,,,,,,,,,
400 KVSS Kalapaka,400 KVSS Asupaka,400 KVSS Kalapaka,400 KVSS Asupaka,,,,,,,,,,,,,,,,,,,
132 KVSS Araku,Machkund Power House,132 KVSS Araku,Machkund Power House,,,,,,,,,,,,,,,,,,,
Nunna,KTPS,Nunna,KTPS,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Suryapet 220kV SS,Chillakallu,Suryapet,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Pulichintala220kVSS,Chillakallu,Pulichintala,,,,,,,,,,,,,,,,,,,
Sattenapally 400kvss,Srisailam (LB),STPL,SSLM(LB),,,,,,,,,,,,,,,,,,,
Sattenapally 400kvss,Srisailam (LB),STPL,SSLM(LB),,,,,,,,,,,,,,,,,,,
Sattenapally 400kvss,Srisailam (LB),STPL,SSLM(LB),,,,,,,,,,,,,,,,,,,
Tangeda 132kvss,Wadapally,Tangeda,Wadapally,,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,N.Sagar (LB),Tallapally,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,N.Sagar (LB),Tallapally,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,N.Sagar (LB),Tallapally,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,N.Sagar (LB),Tallapally,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
Tallapally 220kvss,Chalakurthy,Tallapally,Chalakurthy,,,,,,,,,,,,,,,,,,,
RCPH,N.Sagar (LB),RCPH,N.Sagar(LB),,,,,,,,,,,,,,,,,,,
220 KV SS Sullurpet,220 KV SS Gummadipundi,Sullurpet,Gummadipundi,,,,,,,,,,,,,,,,,,,
220 KV Switchyard Srisailam right bank,Dindi,SSLM RB,Dindi,,,,,,,,,,,,,,,,,,,
220 KV Switchyard Srisailam right bank,Nagarjuna Sagar,SSLM RB,Nagarjuna sagar,,,,,,,,,,,,,,,,,,,
400 KV NARNOOR,Srisailam left bank,Narnoor,Srisailam LB,,,,,,,,,,,,,,,,,,,
400 KV NARNOOR,Srisailam left bank,Narnoor,Srisaialm LB,,,,,,,,,,,,,,,,,,,
400 KV NARNOOR,Srisailam left bank,Narnoor,Srisaialm LB,,,,,,,,,,,,,,,,,,,
400 KV NARNOOR,Maheswaram,Narnoor,Srisaialm,,,,,,,,,,,,,,,,,,,
400KVSS Urvakonda,Veltoor 400 kv  SS,Uravakonda 400 KV SS,Veltoor 400 KV SS,,,,,,,,,,,,,,,,,,,
400KVSS Urvakonda,Veltoor 400 kv  SS,Uravakonda 400 KV SS,Veltoor 400 KV SS,,,,,,,,,,,,,,,,,,,
400KVSS Urvakonda,Veltoor 400 kv  SS,Uravakonda 400 KV SS,Veltoor 400 KV SS,,,,,,,,,,,,,,,,,,,
220KVSS Ragulapdu,Allipura 220 KV SS,Ragulapadu 220 KV SS,Allipura 220 KV SS,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,Thiruvallum 400kvss,Chittoor 400kvss,Thiruvallum  400kvss,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,Thiruvallum 400kvss,Chittoor 400kvss,Thiruvallum  400kvss,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,400KVSS Madras,Chittoor 400kvss,Madras  400kvss,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,400KVSS Madras,Chittoor 400kvss,Madras  400kvss,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,400KVSS C.K.Palli,Chittoor400kvss,Ckpalli 400kvss,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,400KVSS C.K.Palli,Chittoor400kvss,Ckpalli 400kvss,,,,,,,,,,,,,,,,,,,
400KVSS Chittoor,400KVSS C.K.Palli,Chittoor400kvss,Ckpalli 400kvss,,,,,,,,,,,,,,,,,,,
220 KVSS Chittoor,Thiruvallum,Chittoor 220kvss,Thiruvallum,,,,,,,,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KV SS Yerraguntla,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KVSS,RTPP 220KVSS,Yerraguntla 220KVSS,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KV SS Yerraguntla,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KV,RTPP220KV,Yerraguntla 220KVSS,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KV SS Pulivendula,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KVSS,RTPP 220KVSS,Pulivendala 220KVSS,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS Madanapalli,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KVSS,Kalikiri 220KVSS,Madanapalli 220KVSS,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS Anantapur,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PG,Gooty PGCIL,Gooty Sw.St 220KV,Anantapur220KVSS,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS Anantapur,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,Anantapur 220KVSS,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS  Gooty Sw st,Kolar PGCIL,Somanahalli PGCIL,Bidadi PGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",220 KV Somayajulaplli,Kolar PGCIL,Somanahalli PGCIL,Bidadi PGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,Somayajulapalli 220KVSS,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",400KV Narnoor,Kolar PGCIL,Somanahalli PGCIL,Bidadi PGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,Narnoor 400KVSS,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS CKPalli,Kolar PGCIL,Somanahalli PGCIL,Bidadi PGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KVSS,,,,,,,,,,,,
"Kolar PGCIL, Karnataka",132 KV SS Vontimitta,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KV,Kadapa 220KV,Vontimitta 132KVSS,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS Kalikiri,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PGCIL,Gooty PGCIL,Gooty Sw.St 220KV,C.K.Palli 220KV,Kalikiri 220KVSS,,,,,,,,,,,
"Kolar PGCIL, Karnataka",220KVSS Gooty,Kolar PGCIL,Somanahalli PGCIL,BidadiPGCIL,Nelamangala KPTCL,Hirayur PGCIL,Pavagada PG,Gooty PGIL,Gooty Sw.St 220KV,Gooty 220KV,,,,,,,,,,,,
VTPS IV,Suryapet 400kVSS,VTPS IV,Suryapet,,,,,,,,,,,,,,,,,,,
VTPS IV,Suryapet 400kVSS,VTPS IV,Suryapet,,,,,,,,,,,,,,,,,,,
VTPS IV,Suryapet 400kVSS,VTPS IV,Suryapet,,,,,,,,,,,,,,,,,,,
Nunna,KTPS,Nunna,KTPS,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Suryapet 220kV SS,Chillakallu,Suryapet,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Kusumanchi 132KVSS,Chillakallu,Kusumanchi,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Khammam 132KVSS,Chillakallu,Khammam,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Madhira 132KVSS,Chillakallu,Madhira,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Kodada 132KV SS,Chillakallu,Kodada,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Sitapuram 132KV SS,Chillakallu,Sitapuram,,,,,,,,,,,,,,,,,,,
Chillakallu 220kV SS,Ramapuram 132KV SS,Chillakallu,Ramapuram,,,,,,,,,,,,,,,,,,,
220 KV Switchyard Srisailam right bank,Domalapenta 220KVSS,SSLM RB,Domalapenta,,,,,,,,,,,,,,,,,,,
Brahmanakotkuru 220KVSS,Wanaparthy 220KVSS,Brahmanakotkuru,Wanaparthy,,,,,,,,,,,,,,,,,,,
Brahmanakotkuru 220KVSS,Regumanugadda 220KVSS,Brahmanakotkuru,Regumanugadda,,,,,,,,,,,,,,,,,,,
A P Carbides 220KVSS,Alampur 132KVSS,A P Carbides,Alampur,,,,,,,,,,,,,,,,,,,
Ambewadi 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
RTPS 400 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Sedam 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Alipur 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Kadakola 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Yerandanahalli 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Konaje 110 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Kolar 220 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Chintamani 220 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Somanahalli 220 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Hoody 400 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Nelamangala 400 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Bidadi 220 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Narendra 220 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Yelahanka 220 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Antharasanahalli 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Madugiri 220 kV,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
BPS 400 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Yarnal 220 kV (G M NAVARA),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Kadra G S,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Kodasalli G S,SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Guttur 400 kV (KPTCL),SLDC,Point to point,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,Bangalore,"Thiruvananthapuram, Pothencode, Edamon, Kundara, Edappon, Pallom, Ambalamugal, Brahmapuram, Kalamassery, Chalakkudy, Madakkathara, Arekode, Arekode PGCIL, SRLDC Bangalore",,,,,,,,,,,,,,,,,,,,
Kalamassery,Thiruvananthapuram,"Thiruvananthapuram, Pothencode, Edamon, Kundara, Edappon, Pallom, Ambalamugal, Brahmapuram, Kalamassery",,,,,,,,,,,,,,,,,,,,
Kalamassery,Bangalore,"Kalamassery, Cochin PGCIL, SRLDC Bangalore",,,,,,,,,,,,,,,,,,,,
Kalamassery,Bangalore,"Kalamassery, Chalakkudy, Madakkathara, Arekode, Arekode PGCIL, SRLDC Bangalore",,,,,,,,,,,,,,,,,,,,
Kalamassery,Bangalore,"Kalamassery, Chalakkudy, Madakkathara, Arekode, Arekode PGCIL, SRLDC Bangalore",,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,NRLDC,"Tiruvananthapuram, Thiruvanantha puram PGCIL, NRLDC",,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,Kalamassery,"Thiruvananthapuram, Pothencode, Edamon, Kundara, Edappon, Pallom, Ambalamugal, Brahmapuram, Kalamassery",,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,Kalamassery,"Thiruvananthapuram, Pothencode, Edamon, Kundara, Edappon, Pallom, Ambalamugal, Brahmapuram, Kalamassery",,,,,,,,,,,,,,,,,,,,
Kalamassery,Bangalore,"Kalamassery, Cochin PGCIL, SRLDC Bangalore",,,,,,,,,,,,,,,,,,,,
Pothencode,Salem,"Pothencode, Thiruvananthapuram PGCIL, Salem",,,,,,,,,,,,,,,,,,,,
Edamon,Salem,"Edappon, Pallom, Ambalamugal, Brahmapuram, Kalamassery, Cochin PGCIL, Salem",,,,,,,,,,,,,,,,,,,,
Kundara,Salem,"Kundara, Edamon, Pothencode, Thiruvananthapuram PGCIL, Salem",,,,,,,,,,,,,,,,,,,,
Shornur,Salem,"Shornur, Madakkathara, Trissur PGCIL, Salem",,,,,,,,,,,,,,,,,,,,
Arekode,Salem,"Arekdoe, Kozhikode PGCIL, Salem",,,,,,,,,,,,,,,,,,,,
Chalakudy,Salem,"Calakkudy, Madakkathara, Arekdoe, Kozhikode PGCIL, Salem",,,,,,,,,,,,,,,,,,,,
Edappon,Kolar,"Edappon, Pallom, Ambalamugal, Kalamassery, Cochin PGCIL, Kolar",,,,,,,,,,,,,,,,,,,,
Pallom,Kolar,"Pallom, Ambalamugal, Kalamassery, Cochin PGCIL, Kolar",,,,,,,,,,,,,,,,,,,,
Madakkathara,Kolar,"Madakkathara, Arekode, Kozhikode PGCIL, Kolar",,,,,,,,,,,,,,,,,,,,
Kanhirode,Kolar,"Kanhirode, Orkkattery, Arekode, Madakkathara, Arekode, Kozhikode PGCIL, Kolar",,,,,,,,,,,,,,,,,,,,
Kalamassery,Bangalore,"Kalamassery, Cochin PGCIL, SRLDC Bangalore",,,,,,,,,,,,,,,,,,,,
Kalamassery,Thiruvananthapuram,"Thiruvananthapuram, Pothencode, Edamon, Kundara, Edappon, Pallom, Ambalamugal, Brahmapuram, Kalamassery",,,,,,,,,,,,,,,,,,,,
CHENNAI  SLDC,Madurai SLDC,SLCD Chennai,S'Perumbudur 400,Trichy (PGCIL),SLDC Madurai  (BCC),,,,,,,,,,,,,,,,,
SRIPERUMBUDUR 400 kV SS,SLDC CHENNAI,Direct  OFC,,,,,,,,,,,,,,,,,,,,
SRIPERUMBUDUR 400 kV SS,LDC  MADURAI,S'Perumbudur 400,Trichy (PGCIL),SLDC Madurai,,,,,,,,,,,,,,,,,,
SPKOIL 230 kV SS,SLDC CHENNAI,Singaperumal Koil,Sriperumbudur,SLDC  Chennai,,,,,,,,,,,,,,,,,,
SPKOIL 230 kV SS,LDC  MADURAI,Singaperumal Koil,Sriperumbudur,Trichy,LDC  Madurai,,,,,,,,,,,,,,,,,
NEYVELI 230 kV SS,SLDC CHENNAI,Neyveli,Villupuram 110 SS,Singaperumal koil 230 ss,S'perumbudur 400 kv ss,SLDC Chennai,,,,,,,,,,,,,,,,
NEYVELI 230 kV SS,LDC  MADURAI,Neyveli,Villupuram 110 SS,Singaperumal koil 230 ss,S'perumbudur 400 kv ss,Trichy (PGCIL),SLDC Madurai,,,,,,,,,,,,,,,
MYLADUTHURAI 230 kV SS,SLDC CHENNAI,Myladuthurai 230,Neyvely 230,Villupuram 110,Singaperumal koil 230,S'Perumbudur,SLDC Chennai,,,,,,,,,,,,,,,
MYLADUTHURAI 230 kV SS,LDC  MADURAI,Myladuthurai 230,Triruvarur,Trichy,Alandur,Trichy 400,Karaikudi 400,Chekanurani 400,Chekanurani 230,SLDC Madurai,,,,,,,,,,,,
TRICHY 230 kV SS,SLDC CHENNAI,Trichy 230,S'Perumbudur 400,SLDC Chennai,,,,,,,,,,,,,,,,,,
TRICHY 230 kV SS,LDC  MADURAI,Trichy,SLDC Madurai,,,,,,,,,,,,,,,,,,,
MADURAI  230 kV SS,SLDC CHENNAI,Madurai LDC,Trichy 230,S'perumbudur 400 SS,SLDC Chennai,,,,,,,,,,,,,,,,,
MADURAI  230 kV SS,LDC  MADURAI,Local,,,,,,,,,,,,,,,,,,,,
CHECKANURANI 400 kV SS,SLDC CHENNAI,Madurai 400,Madurai 230,Trichy 230,S'perumbudur,SLDC Chennai.,,,,,,,,,,,,,,,,
CHECKANURANI 400 kV SS,MADURAI   LDC,Chekanoorani,Madurai,,,,,,,,,,,,,,,,,,,
KAYATHAR 230 kV SS,SLDC CHENNAI,Kayathar,Madurai 230,Trichy 230,S'Perumbudur,SLDC Chennai.,,,,,,,,,,,,,,,,
KAYATHAR 230 kV SS,MADURAI   LDC,Kayathar,SLDC  Madurai.,,,,,,,,,,,,,,,,,,,
KARAIKUDI 230 KV SS,SLDC CHENNAI,Karakudi 400,Madurai 230,SLDC Chennai (ISP),,,,,,,,,,,,,,,,,,
KARAIKUDI 230 KV SS,MADURAI   LDC,Karakudi 400,Madurai SLDC,,,,,,,,,,,,,,,,,,,
ERODE 230 kV SS,SLDC CHENNAI,Erode LDC,Trichy 230,S'perumbudur 400,SLDC Chennai,,,,,,,,,,,,,,,,,
ERODE 230 kV SS,MADURAI   LDC,Erode,Salem230,Ulundurpet 230 (Myvadi),Chekanurani,SLDC Madurai,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Pugalur230,Pugalur400,Alagapuram repeater,Kalivanthapattu,Chennai,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Pugalur230,Pugalur400,Alagapuram repeater,Kalivanthapattu,Chennai,,,,,,,,,,,,,,,
Sub-LDC/Erode,Madurai,Erode,Salem230,Myvadi230,Madurai400,Madurai230,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Salem230,Myvadi230,Madurai400,Madurai230,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Madurai,Erode,Salem230,Myvadi230,Madurai400,Madurai230,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Madurai,Erode,Trichy,Madurai230,,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Pugalur230,Pugalur400,Alagapuram repeater,Kalivanthapattu,Chennai,,,,,,,,,,,,,,,
Sub-LDC/Erode,Kundha-2,Erode,Salem230,Myvadi230,Arasur400,Karamadai400,Kundha,2,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Trichy,sriperambudur,Chennai,,,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Pugalur230,Pugalur400,Alagapuram repeater,Kalivanthapattu,Chennai,,,,,,,,,,,,,,,
Sub-LDC/Erode,Chennai,Erode,Pugalur230,Pugalur400,Alagapuram repeater,Kalivanthapattu,Chennai,,,,,,,,,,,,,,,
SALEM  400 kV SS,SLDC CHENNAI,Salem 230,Erode LDC,Trichy 230,S'perumbudur 400,SLDC Chennai,,,,,,,,,,,,,,,,
SALEM  400 kV SS,MADURAI   LDC,Salem230,Ulundurpet 230 (Myvadi),Chekanurani,SLDC Madurai,,,,,,,,,,,,,,,,,
ARASUR 230 kV SS,SLDC CHENNAI,Arasur 230,Arasur 400,Udumalpet 230,Salem 230,Erode,Trichy 230,S'perumbudur,SLDC Chennai,,,,,,,,,,,,,
